,title,artist,lastfm_id,genius_id,Group
0,Rough Hands,Alexisonfire,TRQNBJV128F42972BF,199499.0,92
1,Fallin',Alicia Keys,TRIHMLE128F92F3F8C,344010.0,25
2,Goodbye,Alicia Keys,TRDTVQK128F4284EEC,149388.0,50
3,Sick And Tired,Anastacia,TRHDAOF128F4284873,808482.0,60
4,Hold On,Angus & Julia Stone,TRIBPYT12903CB5C29,797364.0,79
5,For You,Angus & Julia Stone,TRENKFJ12903CB5C2B,524878.0,76
6,Walk It Off,Angus & Julia Stone,TRLSGMU12903CB5C31,796819.0,13
7,Stop The Rock,Apollo 440,TRFCQMU12903CD1FA4,1083171.0,48
8,Show Me The Meaning Of Being Lonely,Backstreet Boys,TRTYXZK128F4290090,328811.0,45
9,Vision Of You,Belinda Carlisle,TRPWPUK128F1458648,852762.0,35
10,(We Want) The Same Thing,Belinda Carlisle,TRZYXBK128F145864B,738453.0,81
11,Half The World,Belinda Carlisle,TRSPPTE128F1458652,852564.0,79
12,Comin' Back,Bent,TRURNEN128F934C753,1615998.0,17
13,As You Fall,Bent,TRUTJBG12903CA6F9A,984679.0,61
14,Honesty,Billy Joel,TRWCEXC128F426305D,215014.0,117
15,Home Again,Blackmore's Night,TRKPVKI128F933E68D,1488326.0,111
16,Hanging Tree,Blackmore's Night,TRXUVVY128F933E6A1,1696418.0,79
17,Figure Eight,Blossom Dearie,TRGWTBQ128F9340A35,1189266.0,37
18,Eyes On Fire,Blue Foundation,TRLDSGA128F429DD00,260487.0,101
19,Kalimba De Luna,Boney M.,TRWXTVB128F42915DF,1086321.0,38
20,Have A Heart,Bonnie Raitt,TRYYDSF128E07990B5,909500.0,91
21,Julie With...,Brian Eno,TREDKYB128F1458D57,637677.0,14
22,Sealed With A Kiss,Brian Hyland,TRIUXKA128F92D3818,710051.0,46
23,Space,Brian May,TRUOCAW128F145CEE1,859777.0,66
24,Let Me Go Home,Camera Obscura,TREYHIM12903CFDBC7,1690861.0,45
25,Books Written For Girls,Camera Obscura,TRPDNKT12903CFDBC9,949529.0,117
26,Knee Deep At The NPL,Camera Obscura,TRISCAT12903CFDBD0,488159.0,106
27,"Lloyd, I'm Ready To Be Heartbroken",Camera Obscura,TRXEMOI12903CFEAF2,339311.0,60
28,Let's Get Out Of This Country,Camera Obscura,TRZWXVE12903CFEB01,339347.0,58
29,In Power We Entrust The Love Advocated,Chandeen,TRARGCD128F422DCA1,1043098.0,98
30,Welcome The Still,Chandeen,TRCMWWM128F427EEBE,1668298.0,17
31,Fallin' For You,Colbie Caillat,TRRMTOK12903CE577E,446202.0,119
32,I Never Told You,Colbie Caillat,TRYRZFF128F933BBBB,448748.0,93
33,Breakin' At The Cracks,Colbie Caillat,TRVTILW128F933BBC0,448743.0,92
34,Inside Us All,Creed,TRNMOOD12903CCC606,397422.0,111
35,Cannonball,Damien Rice,TRZFQZF12903CD6F42,252922.0,87
36,Older Chests,Damien Rice,TRSCWIA128E0785B05,546975.0,114
37,Cheers Darlin',Damien Rice,TRUXWBF128E0785B09,552862.0,96
38,Cold Water,Damien Rice,TRKDQOR128E0785B0B,606118.0,83
39,I Remember,Damien Rice,TRKKZMN128E0785B0D,606121.0,72
40,Hold Me Close,David Essex,TRZHBYC128F4278338,1647564.0,38
41,We Are Loved,David Crowder Band,TRYPEJT12903CABC15,1416269.0,58
